kpn,STD_CHGR,MATNG_PRTS_PARTCPTN_AT,BRDR_TRB,BRDR_THWD,STD_CRWG,BRDR_LN_Y_AR,BRDR_MRSC,SLE_AT_NM,STD_BDLN,SLE_AT,BRDR_CRWG,BRDR_12_MTAG_WGHT,STD_LN_Y_AR,BRDR_WTHG,BRDR_BCKF_THCN,STD_MRSC,BRBL_SPCHCKN_CODE_NM,STD_CHWD,PPLT_REGIST_NO,PPLT_IDNTFC_NO,STD_12_MTAG_WGHT,STD_BCKF_THCN,BRDR_ISWD,BRDR_DPCH,STD_WTHG,BRBL_NO,BIRTH_DATETM,STD_ISWD,STD_TRB,MATNG_PRTS_PARTCPTN_AT_NM,BRDR_HPWD,STD_HHC,BRDR_BDLN,STD_THWD,BRDR_CHGR,BRBL_SPCHCKN_CODE,BRDR_HHC,BRDR_CHWD,STD_DPCH,STD_HPWD,SCDR_REGIST_NO,SCDR_PPLT_IDNTFC_NO,NRPL_PPLT_IDNTFC_NO,NRPL_REGIST_NO,SCDR_KPN,BEING_AT_NM,BEING_AT
KPN001,0,N,-0.3996,-0.6325,-0.7394,-1.5673,-0.2481,미판매,0,N,-8.6585,-5.2311,-0.6055,-0.4752,0.8638,-0.158,보증,0,711006359,001711006359,-0.9355,0.4903,-0.186,-0.0221,0,KPN001,19820304,0,0,미참여,0.092,0,-1.4709,0,-0.2447,HA5701,-0.0642,-0.32,0,0,,,,,,,
KPN002,0,N,-0.5264,-0.9869,-0.6561,-1.5979,-0.8673,미판매,0,N,-6.8495,0.4083,-0.6118,-0.4231,-0.7472,-0.8042,보증,0,711006360,001711006360,-0.6026,-0.4467,-0.521,-0.3425,0,KPN002,19820304,0,0,미참여,-1.691,0,-0.9557,0,-3.1606,HA5701,-1.0844,-0.686,0,0,,,,,,,
KPN003,0,N,-0.7069,-0.2667,-0.329,-0.3468,-0.2461,미판매,0,N,0.257,-1.7245,-0.3561,0.4609,0.1249,-0.1559,보증,0,711006361,001711006361,-0.7285,0.0605,-0.3552,-0.0928,0,KPN003,19820307,0,0,미참여,-0.6222,0,0.0804,0,-2.414,HA5701,0.424,-0.4928,0,0,,,,,,,
KPN004,0,N,-0.4264,-0.2689,-0.7259,-1.9362,-0.6069,미판매,0,N,-8.3659,-3.5307,-0.681,0.4699,-0.5674,-0.5325,보증,0,711006362,001711006362,-0.8351,-0.3421,-0.3647,-0.0576,0,KPN004,19820317,0,0,미참여,0.0989,0,-1.0328,0,-3.4592,HA5701,0.6574,-0.9121,0,0,,,,,,,
KPN005,0,N,-0.0411,0.3371,-0.2208,-0.1812,-0.0149,미판매,0,N,2.6062,1.9493,-0.3222,0.3688,-0.246,0.0854,보증,0,711006363,001711006363,-0.5116,-0.1552,0.0993,0.1353,0,KPN005,19820314,0,0,미참여,0.6711,0,0.1233,0,1.3672,HA5701,0.4159,0.2033,0,0,,,,,,,
KPN006,0,N,-0.2866,-0.0605,-0.3987,0.1597,0.1634,미판매,0,N,-1.2572,-1.6732,-0.2525,-0.6875,-0.0457,0.2715,보증,0,711006222,001711006222,-0.7255,-0.0387,-0.1151,-0.2035,0,KPN006,19810630,0,0,미참여,-0.1478,0,-0.566,0,-0.3295,HA5701,-0.5983,-0.1203,0,0,,,,,,,
KPN007,0,N,-0.7971,-0.9615,-1.0453,-3.1343,-0.0002,미판매,0,N,-15.3045,-12.1659,-0.9259,-0.9439,-0.3821,0.1007,보증,0,711006197,001711006197,-1.3448,-0.2344,-0.9197,-0.0774,0,KPN007,19810101,0,0,미참여,-1.025,0,-1.4923,0,-3.1542,HA5701,-2.1301,-1.34,0,0,,,,,,,
KPN008,0,N,-0.4885,-0.2902,-0.8341,-4.6158,-0.7604,미판매,0,N,-10.7154,-1.7672,-1.2287,-0.7891,0.5588,-0.6927,보증,0,711006528,001711006528,-0.731,0.3129,-0.6391,0.0754,0,KPN008,19830517,0,0,미참여,-1.4145,0,-0.0734,0,1.3751,HA5701,-1.0358,-0.5064,0,0,,,,,,,
KPN009,0,N,-0.0246,-0.0749,-0.3788,-0.0083,0.002,미판매,0,N,-0.8246,-0.4903,-0.2868,0.2367,-0.259,0.1031,보증,0,711006648,001711006648,-0.6556,-0.1627,0.0487,-0.0899,0,KPN009,19830710,0,0,미참여,-0.2362,0,-0.1971,0,-0.317,HA5701,0.1064,-0.1291,0,0,,,,,,,
KPN010,0,N,0.3568,-0.1996,0.4268,-0.251,-0.0413,미판매,0,N,16.6747,5.2241,-0.3365,0.4858,0.7963,0.0578,보증,0,711006720,001711006720,-0.3184,0.4511,-0.0203,-0.0484,0,KPN010,19830630,0,0,미참여,0.7808,0,-0.2808,0,0.5625,HA5701,0.2535,-0.9362,0,0,,,,,,,
