kpn,parent_kpn
hanwoo,
KPN001,hanwoo
KPN002,hanwoo
KPN003,hanwoo
KPN004,hanwoo
KPN005,hanwoo
KPN006,hanwoo
KPN007,hanwoo
KPN008,hanwoo
KPN009,hanwoo
KPN010,hanwoo
KPN011,hanwoo
KPN012,hanwoo
KPN013,hanwoo
KPN014,hanwoo
KPN015,hanwoo
KPN016,hanwoo
KPN017,hanwoo
KPN018,hanwoo
KPN020,hanwoo
KPN021,hanwoo
KPN022,hanwoo
KPN023,hanwoo
KPN024,hanwoo
KPN025,hanwoo
KPN026,hanwoo
KPN027,hanwoo
KPN028,hanwoo
KPN029,hanwoo
KPN030,hanwoo
KPN031,hanwoo
KPN032,hanwoo
KPN033,hanwoo
KPN034,hanwoo
KPN035,hanwoo
KPN036,hanwoo
KPN037,hanwoo
KPN038,hanwoo
KPN039,K045
KPN040,K045
KPN041,hanwoo
KPN042,hanwoo
KPN043,hanwoo
KPN044,hanwoo
KPN045,hanwoo
KPN046,hanwoo
KPN047,hanwoo
KPN048,hanwoo
KPN049,hanwoo
KPN050,hanwoo
KPN051,hanwoo
KPN052,K103
KPN053,K030
KPN054,K074
KPN055,K074
KPN056,K096
KPN057,K074
KPN058,KPN002
KPN059,KPN007
KPN060,KPN007
KPN061,KPN010
KPN062,hanwoo
KPN063,KPN002
KPN064,hanwoo
KPN065,hanwoo
KPN066,hanwoo
KPN067,hanwoo
KPN068,hanwoo
KPN069,K154
KPN070,K126
KPN071,K170
KPN072,K136
KPN073,K113
KPN074,K103
KPN075,K073
KPN076,hanwoo
KPN077,KPN032
KPN078,K269
KPN079,K207
KPN080,hanwoo
KPN081,K104
KPN082,hanwoo
KPN083,K170
KPN084,K074
KPN085,K170
KPN086,K074
KPN087,KPN032
KPN088,hanwoo
KPN089,K288
KPN090,K288
KPN091,hanwoo
KPN092,K112
KPN093,K131
KPN094,hanwoo
KPN095,hanwoo
KPN096,K133
KPN097,K201
KPN098,K201
KPN099,K201
KPN100,KPN032
KPN101,KPN032
KPN102,hanwoo
KPN103,K292
KPN104,K131
KPN105,K118
KPN106,hanwoo
KPN107,hanwoo
KPN108,K201
KPN109,K133
KPN110,K217
KPN111,hanwoo
KPN112,K279
KPN113,K118
KPN114,K131
KPN115,hanwoo
KPN116,K133
KPN117,hanwoo
KPN118,K140
KPN119,KPN032
KPN120,KPN032
KPN121,KPN032
KPN122,K140
KPN123,KPN016
KPN124,K131
KPN125,hanwoo
KPN126,hanwoo
KPN127,hanwoo
KPN128,hanwoo
KPN129,KPN002
KPN130,K279
KPN131,KPN014
KPN132,K131
KPN134,KPN009
KPN135,K172
KPN136,K359
KPN137,K227
KPN138,K227
KPN139,K205
KPN140,hanwoo
KPN141,hanwoo
KPN142,hanwoo
KPN144,KPN014
KPN145,K131
KPN146,KPN037
KPN147,KPN036
KPN148,KPN013
KPN149,KPN013
KPN150,KPN033
KPN151,K292
KPN152,K292
KPN153,hanwoo
KPN154,KPN013
KPN155,KP172
KPN156,K217
KPN157,hanwoo
KPN158,hanwoo
KPN159,KPN004
KPN161,KP041
KPN162,KPN032
KPN163,KPN012
KPN164,KPN014
KPN165,KPN011
KPN166,KPN011
KPN167,K331
KPN168,K131
KPN169,KPN014
KPN170,KP041
KPN171,KPN040
KPN172,KPN011
KPN173,KPN032
KPN174,KPN002
KPN175,hanwoo
KPN176,KPN011
KPN177,KPN032
KPN178,KPN032
KPN179,KPN056
KPN180,KPN015
KPN181,hanwoo
KPN182,KPN031
KPN183,hanwoo
KPN184,hanwoo
KPN185,KPN052
KPN186,KPN011
KPN187,KPN033
KPN188,KPN050
KPN189,KPN007
KPN190,hanwoo
KPN191,KPN060
KPN192,KPN048
KPN193,KPN003
KPN194,KPN003
KPN195,KPN032
KPN196,KPN033
KPN197,KPN015
KPN198,KPN015
KPN199,KPN033
KPN200,KPN040
KPN201,KPN050
KPN202,KPN076
KPN203,KPN040
KPN204,KPN013
KPN205,KPN037
KPN206,KPN034
KPN207,hanwoo
KPN208,KPN076
KPN209,KPN069
KPN210,KPN077
KPN211,KPN084
KPN212,KPN089
KPN213,KPN065
KPN214,KPN102
KPN215,KPN049
KPN216,KPN040
KPN217,KPN038
KPN218,KPN083
KPN219,KPN094
KPN220,KPN027
KPN222,KPN086
KPN223,KPN050
KPN224,KPN050
KPN225,KPN090
KPN226,KPN109
KPN227,KPN104
KPN228,KPN052
KPN229,KPN056
KPN230,KPN043
KPN231,KPN108
KPN232,KPN039
KPN233,KPN103
KPN234,KPN043
KPN235,KPN052
KPN236,KPN052
KPN237,KPN120
KPN238,KPN063
KPN239,KPN052
KPN240,KPN075
KPN241,KPN038
KPN242,KP344
KPN243,KPN195
KPN244,KPN123
KPN245,KPN111
KPN246,KPN081
KPN247,KPN059
KPN248,KPN117
KPN249,KPN108
KPN250,KPN188
KPN251,KPN054
KPN252,KPN043
KPN253,KPN114
KPN254,KPN028
KPN255,KPN033
KPN256,KPN103
KPN257,KPN111
KPN258,KPN116
KPN259,KPN094
KPN260,KP341
KPN261,KPN136
KPN262,KPN077
KPN263,KPN131
KPN264,KPN079
KPN265,KPN077
KPN266,KPN077
KPN267,KPN131
KPN268,KPN131
KPN269,KPN105
KPN270,KPN127
KPN271,KPN093
KPN272,KPN094
KPN273,KPN123
KPN274,KPN205
KPN275,KP391
KPN276,KPN116
KPN277,KPN122
KPN278,KPN094
KPN279,KPN109
KPN280,KPN110
KPN281,KPN108
KPN282,KPN129
KPN283,KPN077
KPN284,KPN136
KPN285,KPN079
KPN286,KPN090
KPN287,KPN090
KPN288,KPN122
KPN289,KPN122
KPN290,KPN123
KPN291,KPN121
KPN292,KPN079
KPN293,KPN151
KPN294,KPN079
KPN295,KPN079
KPN296,KPN213
KPN297,KPN151
KPN298,KPN214
KPN299,KPN219
KPN300,KPN084
KPN301,KPN084
KPN302,KPN094
KPN303,KPN094
KPN304,KPN069
KPN305,KPN069
KPN306,KPN091
KPN307,KPN233
KPN308,KPN227
KPN309,KPN145
KPN310,KPN137
KPN311,KPN159
KPN312,KPN159
KPN313,KPN159
KPN314,KPN159
KPN315,KPN124
KPN316,KPN121
KPN317,KPN069
KPN318,KPN094
KPN319,KPN122
KPN320,KPN147
KPN321,KPN111
KPN322,KPN094
KPN323,KPN147
KPN324,KPN147
KPN325,KPN240
KPN326,KPN147
KPN327,KPN247
KPN328,KPN247
KPN329,KPN247
KPN330,KPN147
KPN331,KPN124
KPN332,KPN123
KPN333,KPN123
KPN334,KPN147
KPN335,KPN151
KPN336,KPN147
KPN337,KPN147
KPN338,KPN147
KPN339,KPN147
KPN340,KPN147
KPN341,KPN146
KPN342,KPN151
KPN343,KPN063
KPN344,KPN151
KPN345,KPN137
KPN346,KPN054
KPN347,KPN151
KPN348,KPN147
KPN349,KPN171
KPN350,KPN147
KPN351,KPN122
KPN352,KPN147
KPN353,KPN170
KPN354,KPN147
KPN355,KPN072
KPN356,KPN147
KPN357,KPN124
KPN358,KPN103
KPN359,KPN111
KPN360,KPN145
KPN361,KPN111
KPN362,KPN111
KPN363,KPN145
KPN364,KPN191
KPN365,KPN260
KPN366,KPN189
KPN367,KPN188
KPN368,KPN147
KPN369,KPN116
KPN370,KPN063
KPN371,KPN146
KPN372,KPN151
KPN373,KPN151
KPN374,KPN171
KPN375,KPN147
KPN376,KPN076
KPN377,KPN076
KPN378,KPN076
KPN379,KPN085
