kpn,등록번호,근교계수,아비,조부,외조부,12개월체중 육종가,12개월체중 정확도,도체중 육종가,도체중 정확도,등심단면적 육종가,등심단면적 정확도,등지방두께 육종가,등지방두께 정확도,근내지방도 육종가,근내지방도 정확도,12개월체중 표준화육종가,도체중 표준화육종가,등심단면적 표준화육종가,등지방두께 표준화육종가,근내지방도 표준화육종가,체고 육종가,체고 정확도,십자부고 육종가,십자부고 정확도,체장 육종가,체장 정확도,흉심 육종가,흉심 정확도,흉폭 육종가,흉폭 정확도,요각폭 육종가,요각폭 정확도,곤폭 육종가,곤폭 정확도,좌골폭 육종가,좌골폭 정확도,고장 육종가,고장 정확도,흉위 육종가,흉위 정확도,체고 표준화육종가,십자부고 표준화육종가,체장 표준화육종가,흉심 표준화육종가,흉폭 표준화육종가,요각폭 표준화육종가,곤폭 표준화육종가,좌골폭 표준화육종가,고장 표준화육종가,흉위 표준화육종가,체고 육종가,체고 정확도,십자부고 육종가,십자부고 정확도,체장 육종가,체장 정확도,흉심 육종가,흉심 정확도,흉폭 육종가,흉폭 정확도,요각폭 육종가,요각폭 정확도,곤폭 육종가,곤폭 정확도,좌골폭 육종가,좌골폭 정확도,고장 육종가,고장 정확도,흉위 육종가,흉위 정확도,체고 표준화육종가,십자부고 표준화육종가,체장 표준화육종가,흉심 표준화육종가,흉폭 표준화육종가,요각폭 표준화육종가,곤폭 표준화육종가,좌골폭 표준화육종가,고장 표준화육종가,흉위 표준화육종가,안심중량 육종가,안심중량 정확도,등심중량 육종가,등심중량 정확도,채끝중량육종가,채끝중량정확도,목심중량 육종가,목심중량 정확도,앞다리중량 육종가,앞다리중량 정확도,우둔중량 육종가,우둔중량 정확도,설도중량 육종가,설도중량 정확도,사태중량 육종가,사태중량 정확도,양지중량 육종가,양지중량 정확도,갈비중량 육종가,갈비중량 정확도,안심중량 표준화육종가,등심중량 표준화육종가,채끝중량 표준화육종가,목심중량 표준화육종가,앞다리중량 표준화육종가,우둔중량 표준화육종가,설도중량 표준화육종가,사태중량 표준화육종가,양지중량 표준화육종가,갈비중량 표준화육종가,안심비율 육종가,안심비율 정확도,등심비율 육종가,등심비율 정확도,채끝비율 육종가,채끝비율 정확도,목심비율 육종가,목심비율 정확도,앞다리비율 육종가,앞다리비율 정확도,우둔비율 육종가,우둔비율 정확도,설도비율 육종가,설도비율 정확도,사태비율 육종가,사태비율 정확도,양지비율 육종가,양지비율 정확도,갈비비율 육종가,갈비비율 정확도,안심비율 표준화육종가,등심비율 표준화육종가,채끝비율 표준화육종가,목심비율 표준화육종가,앞다리비율  표준화육종가,우둔비율 표준화육종가,설도비율 표준화육종가,사태비율 표준화육종가,양지비율 표준화육종가,갈비비율 표준화육종가
KPN001,711006359,0.00%,,,,-5.2311,0.31,-8.6585,0.35,-1.5673,0.38,0.8638,0.38,-0.2481,0.34,-0.9355,-0.7394,-0.6055,0.4903,-0.158,-1.20647407,0.37,-1.2299912,0.38,-0.5385,0.37,-0.1758,0.33,0.3032,0.32,-0.1077,0.32,-0.1735,0.33,-0.144,0.35,0.0079,0.33,0.0248,0.32,-0.751,-0.7782,-0.5593,0.0332,0.1574,-0.5665,-0.385,-0.4121,-0.2551,0.0356,-0.4752,0.37,-0.0642,0.35,-1.4709,0.33,-0.0221,0.28,-0.32,0.28,0.092,0.4,-0.6325,0.3,-0.186,0.31,-0.3996,0.29,-0.2447,0.32,-0.2458,-0.0697,-0.6715,0.1503,-0.2116,-0.0124,-0.6173,-0.3161,-0.4502,0.0197,-0.1071,0.32,-0.3694,0.35,0.0041,0.34,-0.4385,0.28,-0.5181,0.34,-0.5289,0.34,-0.9373,0.34,-0.1622,0.33,-0.688,0.3,-0.7554,0.33,-1.2181,-1.3444,-1.1181,-1.2745,-1.3063,-1.2184,-1.3661,-1.1245,-1.3409,-1.465,0.0015,0.29,0.0745,0.32,0.0454,0.15,-0.0311,0.23,-0.0164,0.28,-0.0415,0.3,-0.0871,0.29,0.0188,0.23,-0.0617,0.23,0.0616,0.25,0.1683,-0.3903,0.1127,-0.3633,-0.4162,-0.1561,-0.4688,0.1883,-0.1507,-0.0577
KPN002,711006360,0.00%,,,,0.4083,0.63,-6.8495,0.7,-1.5979,0.74,-0.7472,0.75,-0.8673,0.56,-0.6026,-0.6561,-0.6118,-0.4467,-0.8042,-1.13895226,0.71,-1.25723338,0.71,-2.0515,0.69,-0.8147,0.64,-0.7984,0.62,-0.6577,0.62,-0.6935,0.63,-0.7277,0.66,-0.5323,0.62,-2.6317,0.63,-0.7108,-0.7936,-1.2739,-0.775,-1.3062,-1.3605,-1.1314,-1.0698,-1.4073,-1.2686,-0.4231,0.75,-1.0844,0.73,-0.9557,0.7,-0.3425,0.63,-0.686,0.63,-1.691,0.79,-0.9869,0.66,-0.521,0.67,-0.5264,0.65,-3.1606,0.68,-0.221,-0.5822,-0.4395,-0.3437,-0.6628,-1.2015,-1.0153,-0.9973,-0.6207,-1.1109,0.0614,0.62,0.655,0.7,0.07,0.69,-0.0826,0.54,0.06,0.66,0.0546,0.65,0.0688,0.67,0.11,0.64,0.7136,0.59,1.0698,0.66,-0.7437,-0.917,-0.9921,-0.9567,-0.9772,-0.8106,-0.9331,-0.8274,-0.5328,-0.8645,-0.0005,0.52,0.083,0.61,0.0047,0.55,-0.0503,0.38,-0.0478,0.49,-0.0383,0.54,-0.0715,0.52,-0.0104,0.44,0.1017,0.39,0.1232,0.4,0.1365,-0.363,-0.381,-0.4651,-0.542,-0.1432,-0.4203,-0.0403,0.5295,0.143
KPN003,711006361,0.00%,,,,-1.7245,0.43,0.257,0.41,-0.3468,0.41,0.1249,0.4,-0.2461,0.38,-0.7285,-0.329,-0.3561,0.0605,-0.1559,-0.42784062,0.51,-0.39622045,0.51,-0.428,0.5,-0.7005,0.45,-0.322,0.44,-0.104,0.44,-0.3917,0.46,-0.2303,0.47,-0.0812,0.45,-1.7,0.45,-0.2869,-0.3073,-0.5071,-0.6306,-0.6733,-0.5611,-0.6982,-0.5094,-0.445,-0.8112,0.4609,0.4,0.424,0.38,0.0804,0.36,-0.0928,0.3,-0.4928,0.3,-0.6222,0.43,-0.2667,0.33,-0.3552,0.33,-0.7069,0.31,-2.414,0.35,0.2002,0.1756,0.0271,0.0414,-0.4247,-0.4888,-0.2066,-0.6601,-0.8635,-0.8214,0.1793,0.35,0.7202,0.39,0.1922,0.38,0.3317,0.3,0.5413,0.37,0.5767,0.36,0.9168,0.38,0.3523,0.36,0.3171,0.33,0.8319,0.37,-0.4118,-0.8898,-0.7588,-0.5868,-0.7031,-0.4457,-0.5682,-0.5628,-0.7614,-0.9427,0.0222,0.28,0.0405,0.33,0.0197,0.16,0.0271,0.21,0.0313,0.26,0.0594,0.3,0.0956,0.29,0.0296,0.22,-0.0414,0.22,-0.0442,0.24,0.5011,-0.4996,-0.1992,-0.0547,-0.2249,0.2537,0.0982,0.2729,-0.0662,-0.4031
KPN004,711006362,0.00%,,,,-3.5307,0.36,-8.3659,0.37,-1.9362,0.39,-0.5674,0.39,-0.6069,0.28,-0.8351,-0.7259,-0.681,-0.3421,-0.5325,-0.87279469,0.42,-0.75513202,0.43,-0.7517,0.41,-0.6913,0.36,-0.08,0.35,-0.0495,0.35,-0.4749,0.36,-0.0761,0.38,-0.1622,0.35,-1.0057,0.35,-0.5521,-0.51,-0.66,-0.6189,-0.3518,-0.4825,-0.8175,-0.3356,-0.6178,-0.4703,0.4699,0.37,0.6574,0.35,-1.0328,0.33,-0.0576,0.25,-0.9121,0.26,0.0989,0.41,-0.2689,0.29,-0.3647,0.29,-0.4264,0.27,-3.4592,0.31,0.2045,0.2928,-0.4742,0.0956,-0.9415,-0.0078,-0.209,-0.6794,-0.4863,-1.2267,-0.0062,0.31,-0.8723,0.36,-0.1123,0.35,-0.1933,0.27,-0.223,0.34,0.0182,0.33,-0.2613,0.34,-0.0424,0.33,-0.1235,0.3,-1.7447,0.34,-0.9339,-1.5542,-1.3403,-1.0555,-1.1383,-0.8361,-1.0752,-0.9937,-1.0154,-1.7906,0.0358,0.23,-0.0341,0.29,0.0202,0.04,0.0378,0.15,0.0844,0.2,0.1453,0.24,0.1398,0.23,0.0775,0.13,0.1475,0.16,-0.1546,0.16,0.7191,-0.7393,-0.1927,0.0023,-0.0117,0.6028,0.2355,0.647,0.72,-0.7632
KPN005,711006363,0.00%,,,,1.9493,0.1,2.6062,0.15,-0.1812,0.17,-0.246,0.17,-0.0149,0.05,-0.5116,-0.2208,-0.3222,-0.1552,0.0854,-0.00127482,0,-0.00121025,0,-0.0013,0,-0.0004,0,-0.0001,0,-0.0005,0,-0.0005,0,-0.0005,0,-0.0003,0,-0.0008,0,-0.0327,-0.0842,-0.3056,0.2551,-0.2457,-0.4117,-0.1366,-0.2504,-0.2725,0.023,0.3688,0.17,0.4159,0.15,0.1233,0.14,0.1353,0.1,0.2033,0.1,0.6711,0.2,0.3371,0.12,0.0993,0.12,-0.0411,0.11,1.3672,0.13,0.1563,0.1715,0.0464,0.3931,0.4334,0.3737,0.4714,0.2639,0.032,0.6447,0.0649,0.11,0.3003,0.15,0.0482,0.13,0.1276,0.1,0.2938,0.13,0.2247,0.13,0.4031,0.14,0.1516,0.13,0.3415,0.11,0.4581,0.12,-0.734,-1.0649,-1.0339,-0.769,-0.844,-0.6918,-0.7893,-0.782,-0.7474,-1.0657,0.0029,0.08,-0.0032,0.12,-0.0048,0.26,0.0026,0.04,0.0204,0.05,0.0106,0.07,0.0272,0.08,0.0068,0.14,0.0208,0.04,-0.0032,0.03,0.191,-0.6399,-0.4965,-0.1846,-0.2685,0.0555,-0.1141,0.0943,0.1928,-0.2693
KPN006,711006222,0.00%,,,,-1.6732,0.15,-1.2572,0.14,0.1597,0.14,-0.0457,0.13,0.1634,0.13,-0.7255,-0.3987,-0.2525,-0.0387,0.2715,-0.08497286,0.17,-0.08043142,0.18,0.027,0.17,-0.0873,0.15,-0.042,0.15,-0.0738,0.15,-0.0652,0.16,-0.0471,0.16,-0.0055,0.16,-0.2279,0.15,-0.0826,-0.1289,-0.2922,0.1451,-0.3013,-0.5176,-0.2296,-0.3029,-0.2838,-0.0885,-0.6875,0.13,-0.5983,0.13,-0.566,0.13,-0.2035,0.11,-0.1203,0.11,-0.1478,0.14,-0.0605,0.12,-0.1151,0.12,-0.2866,0.12,-0.3295,0.12,-0.3469,-0.338,-0.264,-0.1293,0.0346,-0.1723,0.025,-0.172,-0.2982,-0.0132,-0.0088,0.12,0.0568,0.13,0.0051,0.12,-0.0414,0.12,-0.0083,0.14,0.0247,0.13,-0.0178,0.14,-0.0313,0.13,0.1076,0.13,0.0065,0.13,-0.9412,-1.1666,-1.1161,-0.9199,-1.016,-0.8315,-0.9704,-0.9816,-0.8822,-1.2143,0.002,0.11,0.0294,0.12,0.0071,0.27,0.0016,0.1,0.0126,0.07,0.0176,0.11,0.0123,0.12,-0.0004,0.1,0.0409,0.1,0.0412,0.11,0.1759,-0.5352,-0.352,-0.1897,-0.2998,0.0841,-0.16,0.0379,0.2766,-0.1245
KPN007,711006197,0.00%,,,,-12.1659,0.62,-15.3045,0.63,-3.1343,0.65,-0.3821,0.65,-0.0002,0.54,-1.3448,-1.0453,-0.9259,-0.2344,0.1007,-0.94309163,0.69,-1.01322007,0.69,-1.1711,0.68,-0.8451,0.63,-1.0004,0.61,-0.6026,0.62,-0.7746,0.63,-0.8532,0.65,-0.4521,0.62,-3.323,0.63,-0.594,-0.6557,-0.8581,-0.8134,-1.5746,-1.2809,-1.2477,-1.2112,-1.2363,-1.6079,-0.9439,0.64,-2.1301,0.62,-1.4923,0.6,-0.0774,0.53,-1.34,0.54,-1.025,0.68,-0.9615,0.56,-0.9197,0.57,-0.7971,0.55,-3.1542,0.59,-0.4691,-1.1075,-0.6812,0.0651,-1.469,-0.7573,-0.9867,-1.8078,-0.9849,-1.1084,0.247,0.56,0.4029,0.62,0.2075,0.6,0.2895,0.49,0.8509,0.59,0.9231,0.58,1.2091,0.6,0.5345,0.58,-0.4044,0.54,-1.25,0.59,-0.2213,-1.0222,-0.7296,-0.6245,-0.5268,-0.2036,-0.4424,-0.3639,-1.1774,-1.6278,0.0693,0.49,0.1658,0.54,0.0776,0.47,0.0671,0.38,0.2534,0.47,0.2608,0.51,0.3566,0.49,0.1641,0.43,-0.0235,0.39,-0.2647,0.42,1.2573,-0.0969,0.5034,0.1573,0.6662,1.072,0.9084,1.3244,0.0086,-1.1222
KPN008,711006528,0.00%,,,,-1.7672,0.42,-10.7154,0.52,-4.6158,0.57,0.5588,0.58,-0.7604,0.32,-0.731,-0.8341,-1.2287,0.3129,-0.6927,-0.73694205,0.46,-0.93096519,0.46,-0.1765,0.45,0.3284,0.4,-0.2416,0.39,-0.5673,0.39,0.0127,0.4,-0.4954,0.42,-0.0587,0.39,-0.272,0.39,-0.4711,-0.6093,-0.3883,0.6711,-0.5665,-1.23,-0.1178,-0.8081,-0.3972,-0.1101,-0.7891,0.57,-1.0358,0.54,-0.0734,0.51,0.0754,0.42,-0.5064,0.42,-1.4145,0.62,-0.2902,0.46,-0.6391,0.46,-0.4885,0.44,1.3751,0.49,-0.3953,-0.5578,-0.0422,0.3007,-0.4414,-1.0171,-0.2329,-1.2374,-0.5697,0.6477,-0.0833,0.45,-0.987,0.52,-0.3061,0.51,-0.1501,0.38,-0.4436,0.48,-0.4544,0.47,-0.7685,0.49,-0.2823,0.46,-0.2382,0.43,-0.5777,0.47,-1.151,-1.602,-1.7105,-1.017,-1.2639,-1.1664,-1.2935,-1.2557,-1.0816,-1.4066,-0.0011,0.35,-0.1455,0.44,-0.057,0.35,0.0083,0.24,-0.0369,0.32,-0.0581,0.37,-0.0959,0.35,-0.0239,0.26,0.0105,0.24,0.0611,0.22,0.1261,-1.0972,-1.1297,-0.1543,-0.4984,-0.2236,-0.496,-0.1458,0.1498,-0.0595
KPN009,711006648,0.00%,,,,-0.4903,0.08,-0.8246,0.11,-0.0083,0.12,-0.259,0.13,0.002,0.05,-0.6556,-0.3788,-0.2868,-0.1627,0.1031,0.12410672,0.02,0.11955979,0.02,0.1625,0.02,-0.0175,0.02,0.0079,0.02,0.0167,0.02,0.0367,0.02,0.0503,0.02,0.0257,0.02,-0.1179,0.02,0.0421,-0.016,-0.2282,0.2335,-0.2349,-0.3868,-0.0832,-0.1931,-0.2172,-0.0345,0.2367,0.12,0.1064,0.11,-0.1971,0.1,-0.0899,0.08,-0.1291,0.08,-0.2362,0.14,-0.0749,0.09,0.0487,0.09,-0.0246,0.08,-0.317,0.1,0.0934,0.016,-0.0979,0.0458,0.0237,-0.2313,0.0088,0.1611,0.0542,-0.0083,0,0.07,-0.0832,0.11,-0.0236,0.09,-0.0343,0.08,-0.0399,0.1,-0.0176,0.1,-0.0587,0.1,-0.0272,0.1,-0.048,0.09,-0.2232,0.1,-0.9167,-1.225,-1.171,-0.9136,-1.034,-0.8611,-0.988,-0.9771,-0.9719,-1.2899,0.0054,0.04,0.011,0.08,0.0016,0.28,0.005,0.02,0.0118,0.08,0.0143,0.03,0.0153,0.05,0.0067,0.15,0.0145,0.01,-0.0054,0.04,0.2304,-0.5944,-0.4178,-0.1718,-0.3031,0.0706,-0.1509,0.0933,0.1665,-0.2763
KPN010,711006720,0.00%,,,,5.2241,0.39,16.6747,0.48,-0.251,0.53,0.7963,0.55,-0.0413,0.29,-0.3184,0.4268,-0.3365,0.4511,0.0578,0.00752912,0.4,0.247862,0.41,0.4513,0.39,-0.704,0.34,0.3647,0.33,0.0474,0.33,0.0023,0.35,0.186,0.36,0.1055,0.34,-0.9191,0.34,-0.0274,0.0565,-0.0918,-0.635,0.239,-0.3425,-0.1326,-0.0403,-0.047,-0.4278,0.4858,0.52,0.2535,0.49,-0.2808,0.46,-0.0484,0.36,-0.9362,0.37,0.7808,0.58,-0.1996,0.4,-0.0203,0.41,0.3568,0.38,0.5625,0.43,0.212,0.0899,-0.1356,0.1098,-0.9712,0.4469,-0.1311,0.0208,0.5671,0.3327,0.2415,0.43,1.1128,0.5,0.1959,0.48,0.5392,0.36,1.4633,0.46,1.0398,0.45,1.8875,0.47,0.7814,0.44,1.3995,0.4,2.4632,0.45,-0.2367,-0.726,-0.7518,-0.4015,-0.1781,-0.122,-0.1505,-0.0943,-0.1374,-0.4059,-0.0111,0.33,-0.1212,0.42,-0.0432,0.32,-0.0232,0.22,0.1105,0.3,0.0294,0.34,0.1073,0.33,0.0322,0.23,0.0293,0.22,0.0018,0.19,-0.0333,-1.0191,-0.9617,-0.3214,0.0928,0.1318,0.1345,0.2933,0.2283,-0.2529
